Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,QualArea,TotalBath,TotalPorchSF,HouseAge,RemodAge,IsRemodeled
255,3.044522437723423,RL,4.2626798770413155,9.036106025364846,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,Rec,6.827629234502852,Unf,5.973809611869261,GasA,TA,Y,SBrkr,7.181591944611865,0.0,3,0.6931471805599453,TA,Typ,0,NA,Attchd,RFn,1,TA,TA,Y,5.5254529391317835,0.0,0.0,6,2010,WD,Normal,145000,8.790421306897867,2.0,0.0,53,53,0
1067,4.110873864173311,RL,4.0943445622221,8.966738978759576,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,7,1993,1994,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,6.684611727667927,GasA,Gd,Y,SBrkr,6.684611727667927,6.650279048587422,3,0.6931471805599453,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0.0,0.0,0.0,5,2009,WD,Normal,178000,9.15133319139615,2.5,3.713572066704308,16,15,1
639,3.4339872044851463,RL,4.219507705176107,9.080003870248179,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,1Fam,1Story,5,7,1910,1950,Gable,CompShg,MetalSd,Wd Sdng,0.0,TA,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,6.680854678790215,GasA,Gd,Y,FuseA,6.680854678790215,0.0,2,0.6931471805599453,TA,Typ,0,NA,NA,NA,0,NA,NA,P,5.796057750765372,0.0,0.0,5,2008,WD,Normal,85000,8.289288323000317,1.0,5.10594547390058,98,58,1
800,3.9318256327243257,RL,4.110873864173311,8.881975184248867,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,5,7,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,5.53338948872752,TA,TA,BrkTil,Gd,TA,No,ALQ,6.345636360828596,Unf,5.093750200806762,GasA,Ex,Y,SBrkr,6.889591308354466,6.669498089857879,3,0.6931471805599453,Gd,Typ,2,TA,Detchd,Unf,1,TA,TA,Y,0.0,0.0,0.0,6,2007,WD,Normal,175000,9.087155271405804,2.5,5.579729825986222,70,57,1
381,3.9318256327243257,RL,3.9318256327243257,8.517393171418904,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,5.389071729816501,Unf,6.695798917058491,GasA,TA,Y,SBrkr,6.934397209928558,6.501289670540389,3,0.6931471805599453,Gd,Typ,1,Gd,Detchd,Unf,1,TA,TA,Y,0.0,0.0,0.0,5,2010,WD,Normal,127000,9.042631527550073,2.0,5.493061443340548,86,60,1
304,3.044522437723423,RL,4.2626798770413155,9.19023970026918,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,ALQ,6.796823718274855,Unf,0.0,GasA,TA,Y,SBrkr,6.796823718274855,0.0,3,0.6931471805599453,TA,Typ,0,NA,Attchd,Unf,2,TA,TA,Y,5.54907608489522,0.0,0.0,7,2006,WD,Abnorml,149900,8.405367376233981,2.0,0.0,34,34,0
87,4.110873864173311,RL,4.812184355372417,9.385301574363845,Pave,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,6.529418838262226,GasA,Ex,Y,SBrkr,6.529418838262226,6.776506992372183,3,0.6931471805599453,Gd,Typ,1,Gd,BuiltIn,Fin,2,TA,TA,Y,4.61512051684126,0.0,0.0,3,2009,WD,Normal,174000,9.144307401371744,2.5,3.6635616461296463,4,4,0
1386,3.9318256327243257,RM,3.713572066704308,8.600982717145921,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,8,1922,2007,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,BrkTil,TA,TA,No,BLQ,6.601230118728877,Unf,4.127134385045092,GasA,Gd,Y,SBrkr,6.680854678790215,5.883322388488279,3,0.6931471805599453,Gd,Typ,0,NA,Detchd,Unf,1,TA,TA,N,0.0,0.0,0.0,5,2010,WD,Normal,125500,8.43750042250699,2.0,4.574710978503383,88,3,1
266,3.044522437723423,RL,4.3694478524670215,9.400216653174247,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,1981,Gable,CompShg,MetalSd,MetalSd,5.351858133476067,TA,Gd,CBlock,Gd,TA,No,GLQ,6.3784261836515865,LwQ,6.408528791059498,GasA,TA,Y,SBrkr,7.260522598089852,0.0,3,0.6931471805599453,Gd,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,5.6240175061873385,0.0,0.0,6,2008,WD,Normal,175500,9.051696278536586,2.0,0.0,27,27,0
794,3.044522437723423,RL,4.343805421853684,9.122492281402987,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,4.948759890378168,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,7.311218384419629,GasA,Ex,Y,SBrkr,7.311218384419629,0.0,3,0.6931471805599453,Gd,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,5.1298987149230735,0.0,0.0,6,2007,New,Partial,225000,9.39007525287337,2.0,4.875197323201151,0,0,0
1446,4.454347296253507,RL,4.2626798770413155,9.036106025364846,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,1966,1966,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,Gd,LwQ,5.236441962829949,Rec,0.0,GasA,Gd,Y,SBrkr,6.81783057145415,0.0,3,0.6931471805599453,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,0.0,0.0,0.0,5,2007,WD,Normal,129000,8.608677881538416,2.0,5.53338948872752,41,41,0
809,4.394449154672439,RL,4.454347296253507,9.503084610020228,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,5,1966,1966,Gable,CompShg,VinylSd,VinylSd,6.954638864880987,TA,TA,CBlock,TA,TA,Av,ALQ,6.248042874508429,BLQ,5.942799375126701,GasA,TA,Y,SBrkr,6.99117688712121,0.0,3,0.6931471805599453,TA,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0.0,0.0,0.0,6,2006,WD,Normal,159950,8.599878558034845,2.0,0.0,40,40,0
1100,3.044522437723423,RL,4.418840607796598,9.382695764458287,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,5.332718793265369,TA,TA,CBlock,Gd,TA,No,ALQ,6.558197802812269,Unf,6.342121418721152,GasA,TA,Y,SBrkr,7.379008127628304,0.0,3,0.6931471805599453,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0.0,0.0,0.0,4,2009,COD,Abnorml,157000,9.324383088016843,2.0,0.0,31,31,0
606,4.110873864173311,RL,4.454347296253507,9.517898598432753,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,6,1965,1990,Gable,CompShg,HdBoard,HdBoard,5.176149732573829,TA,TA,CBlock,TA,TA,No,BLQ,6.12029741895095,Unf,5.752572638825633,GasA,TA,Y,SBrkr,7.079184394609668,6.68586094706836,3,0.6931471805599453,TA,Typ,3,Fa,Attchd,Unf,2,TA,TA,Y,0.0,0.0,0.0,10,2009,WD,Normal,205000,9.539859923169542,2.5,5.44673737166631,44,19,1
702,3.044522437723423,RL,4.394449154672439,9.169622538697624,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1969,1969,Hip,CompShg,HdBoard,HdBoard,5.1298987149230735,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,7.060476365999801,GasA,TA,Y,SBrkr,7.060476365999801,0.0,3,0.6931471805599453,TA,Typ,0,NA,Attchd,Unf,2,TA,TA,Y,0.0,0.0,0.0,7,2006,COD,Normal,140000,9.00565049932022,1.5,0.0,37,37,0
222,4.110873864173311,RL,4.189654742026425,8.995784837848506,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,6.918695219020472,GasA,Ex,Y,SBrkr,6.918695219020472,7.1372784372603855,4,0.6931471805599453,Gd,Typ,1,TA,BuiltIn,RFn,2,TA,TA,Y,4.795790545596741,0.0,0.0,12,2009,ConLI,Normal,200000,9.51804563563343,2.5,3.8501476017100584,7,7,0
114,3.044522437723423,RL,4.23410650459726,9.952325334619427,Pave,Reg,Bnk,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,5.220355825078324,TA,Gd,CBlock,Gd,TA,Mn,ALQ,3.58351893845611,Rec,6.80903930604298,GasA,TA,Y,SBrkr,7.723120092266331,0.0,3,0.6931471805599453,Gd,Typ,2,Gd,Basment,Unf,2,TA,TA,Y,5.117993812416755,0.0,0.0,10,2007,COD,Abnorml,217000,9.514510761932765,3.0,5.746203190540153,54,54,0
549,3.044522437723423,RM,3.912023005428146,9.01627006814768,Pave,IR1,HLS,AllPub,Inside,Gtl,OldTown,Feedr,RRNn,1Fam,1Story,5,7,1955,1995,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,LwQ,5.198497031265826,Rec,0.0,GasA,TA,Y,SBrkr,6.716594773520978,0.0,2,0.6931471805599453,TA,Typ,0,NA,Detchd,RFn,2,TA,TA,Y,4.948759890378168,0.0,0.0,6,2008,WD,Normal,125000,8.325063693631197,2.0,3.9318256327243257,53,13,1
1074,4.110873864173311,RL,4.330733340286331,8.981052985901483,Pave,IR1,Bnk,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,6,1977,1977,Hip,CompShg,HdBoard,Plywood,4.948759890378168,TA,TA,CBlock,TA,TA,No,BLQ,6.284134161070802,Unf,5.049856007249537,GasA,TA,Y,SBrkr,6.54965074223381,6.591673732008658,3,0.6931471805599453,TA,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,5.53338948872752,0.0,0.0,7,2009,WD,Normal,159500,9.054504940418054,1.5,0.0,32,32,0
